index,user_id,gender,age_group,LSM_group1,share_your_home_with,including_yourself_how_many_people_do_you_share_your_home_with,do_to_try_to_stay_healthy,drives_you_to_have_a_healthy_lifestyle,eat_or_drink,steps_to_eat_drink_more_healthily,how_regularly_do_you_exercise,exercise_do_you_enjoy,do_to_help_you_sleep,before_you_go_to_sleep
310,6182883000.0,Male,18-24,Low,"[""Parents""]",5+,"[""Exercise regularly""]","[""Feeling good about myself"", ""To lose / manage my weight""]","[""Halal""]","[""Checking / reading the ingredients in food / drink products""]",Twice a week,"[""Cycling"", ""Weights"", ""Running""]","[""No, none of these""]","[""No, none of these""]"
314,1310943472.0,Female,35-44,Low,"[""Children under 18 years old"", ""Parents""]",4.0,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""To manage a health / medical condition"", ""To improve my sleep"", ""Prevent health conditions in later life""]","[""Low cholesterol"", ""Dairy free""]","[""Checking / reading the ingredients in food / drink products"", ""Cooking more meals at home"", ""Trying to have a variety of colors on my plate"", ""Shopping at places that have a wide selection of healthy options"", ""Eating out at places that have healthy options available""]",Few times a month,"[""Walking""]","[""Have herbal tea""]","[""Alcohol"", ""Heavy meal""]"
315,1056569895.0,Male,35-44,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Take vitamin / other supplements"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Eat healthily""]","[""To live longer"", ""To set a good example for my family"", ""To make the most of treats / indulgent moments""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten""]","[""Watching the size of my portions"", ""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase""]",Twice a week,"[""Walking"", ""Cycling""]","[""Have a bath""]","[""Caffeine"", ""Alcohol""]"
316,8426828885.0,Male,45+,Medium,"[""Partner / spouse""]",2.0,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""To support my family"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Shopping at places that have a wide selection of healthy options"", ""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions""]",Twice a week,"[""Walking""]","[""No, none of these""]","[""Alcohol"", ""Heavy meal"", ""Caffeine""]"
319,2775914890.0,Female,35-44,Medium,"[""Partner / spouse""]",2.0,"[""Take vitamin / other supplements"", ""Meditation / positive mindset methods"", ""Taking time to relax"", ""Stay hydrated"", ""Eat healthily"", ""Exercise regularly""]","[""To manage a health / medical condition"", ""Feeling good about myself"", ""To make the most out of/enjoy life""]","[""Low sugar"", ""Gluten / wheat free"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Intermittent fasting"", ""Trying to have a variety of colors on my plate""]",Twice a week,"[""Cycling""]","[""Have herbal tea""]","[""Heavy meal""]"
322,502891118.0,Female,45+,Medium,"[""Partner / spouse""]",2.0,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Take vitamin / other supplements"", ""Eat healthily""]","[""To live longer"", ""To make the most of treats / indulgent moments"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Checking / reading the ingredients in food / drink products"", ""Snacking less often"", ""Cooking more meals at home""]",Never,,"[""No, none of these""]","[""Heavy meal""]"
323,3362900784.0,Female,35-44,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Make sure I get enough sleep"", ""Stay hydrated"", ""Taking time to relax"", ""Eat healthily"", ""Stress control methods"", ""Drink lots of water / fluids""]","[""To live longer"", ""Prevent health conditions in later life"", ""To make the most out of/enjoy life""]","[""Halal""]","[""Cooking more meals at home""]",Never,,"[""No, none of these""]","[""No, none of these""]"
328,7103285075.0,Male,45+,High,"[""Parents""]",4.0,"[""Drink lots of water / fluids"", ""Taking time to relax"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Exercise regularly""]","[""To set a good example for my family"", ""To improve my sleep"", ""Have more energy""]","[""Vegan: eat no meat, fish, or dairy"", ""Vegetarian: eat no meat or fish"", ""Organic""]","[""Filling half my plate with vegetables"", ""Watching the size of my portions"", ""Eating out at places that have healthy options available"", ""Making an effort to find healthy recipes"", ""Eating dessert less often""]",3+ times a week,"[""Running"", ""Walking"", ""Weights""]","[""Have a malted milk drink"", ""Meditate"", ""Remove screens from bedrooms e.g. TV, cell phone"", ""Have herbal tea""]","[""Browsing on my cell phone / tablet"", ""Watching TV""]"
331,2851590455.0,Female,45+,Medium,"[""Children under 18 years old""]",2.0,"[""Make sure I get enough sleep""]","[""To improve my sleep"", ""To make the most of treats / indulgent moments"", ""To live longer""]","[""None of the above""]","[""None of the above""]",Never,,"[""Take sleeping tablets""]","[""Caffeine""]"
332,6791361840.0,Female,18-24,High,"[""I live alone""]",1,"[""Taking time to relax"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""To live longer"", ""To make the most of treats / indulgent moments"", ""Have more energy""]","[""Vegetarian: eat no meat or fish""]","[""Making an effort to find healthy recipes""]",Twice a week,"[""Hiking"", ""Walking""]","[""No, none of these""]","[""No, none of these""]"
334,1515438925.0,Female,35-44,Medium,"[""Partner / spouse"", ""Children under 18 years old"", ""Parents""]",5+,"[""Stress control methods"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To set a good example for my family""]","[""Low salt"", ""Low sugar""]","[""Snacking less often"", ""Watching the size of my portions"", ""Eating dessert less often""]",Once a week,"[""Yoga/Pilates""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
339,6475765942.0,Female,45+,High,"[""Other family members""]",4.0,"[""Eat healthily"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Taking time to relax"", ""Meditation / positive mindset methods"", ""Stay hydrated""]","[""To live longer"", ""To support my family"", ""Have more energy""]","[""Dairy free"", ""Flexitarian: eat meat but control the amount eaten"", ""Keto"", ""Low sugar"", ""Paleo""]","[""Cooking more meals at home"", ""Trying to have a variety of colors on my plate"", ""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Snacking less often"", ""Watching the size of my portions""]",Once a week,"[""Walking"", ""Running""]","[""No, none of these""]","[""Heavy meal"", ""Alcohol"", ""Browsing on my cell phone / tablet"", ""Caffeine"", ""Checking emails""]"
340,6917406614.0,Female,35-44,High,"[""Partner / spouse"", ""Children under 18 years old"", ""Parents"", ""Other family members""]",5+,"[""Taking time to relax"", ""Exercise regularly"", ""Eat healthily"", ""Meditation / positive mindset methods"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""To live longer"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Shopping at places that have a wide selection of healthy options"", ""Trying to have a variety of colors on my plate"", ""Watching the size of my portions"", ""Snacking less often"", ""Counting / tracking calories"", ""Eating dessert less often"", ""Making an effort to find healthy recipes"", ""Checking nutritional value of the food / drink I purchase"", ""Filling half my plate with vegetables""]",Twice a week,"[""Swimming"", ""Cardio / Aerobics / Water aerobics"", ""Running"", ""Yoga/Pilates"", ""Aerobics"", ""Spinning"", ""Strength training""]","[""Have warm milk"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Caffeine"", ""Browsing on my cell phone / tablet"", ""Checking emails"", ""Heavy meal""]"
341,767094774.0,Male,35-44,Medium,"[""Parents""]",3.0,"[""Take vitamin / other supplements"", ""Taking time to relax"", ""Exercise regularly"", ""Meditation / positive mindset methods""]","[""To support my family"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Low sugar"", ""Flexitarian: eat meat but control the amount eaten"", ""High protein""]","[""Cooking more meals at home"", ""Eating out / ordering takeout less frequently"", ""Snacking less often""]",3+ times a week,"[""Running"", ""Yoga/Pilates"", ""Walking""]","[""Have warm milk"", ""Meditate""]","[""Heavy meal"", ""Caffeine""]"
343,6544912311.0,Female,35-44,Low,"[""Children under 18 years old""]",2.0,"[""Eat healthily"", ""Stay hydrated"", ""Make sure I get enough sleep""]","[""Have more energy"", ""To lose / manage my weight"", ""To support my family""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Making an effort to find healthy recipes"", ""Watching the size of my portions"", ""Cooking more meals at home""]",Twice a week,"[""Walking""]","[""No, none of these""]","[""No, none of these""]"
346,25493189316.0,Male,45+,Low,"[""Other family members""]",5+,"[""Exercise regularly""]","[""To live longer""]","[""None of the above"", ""None of the above""]","[""Other"", ""Other""]",Less often,,"[""No, none of these""]","[""Caffeine""]"
348,6660139122.0,Male,25-34,High,"[""Children under 18 years old"", ""Parents""]",5+,"[""Eat healthily"", ""Meditation / positive mindset methods"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Stress control methods"", ""Stay hydrated"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""To improve brain function/ memory"", ""Feeling good about myself"", ""To manage a health / medical condition""]","[""Flexitarian: eat meat but control the amount eaten"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Watching the size of my portions"", ""Cooking more meals at home"", ""Shopping at places that have a wide selection of healthy options""]",3+ times a week,"[""Weights""]","[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet"", ""Caffeine"", ""Heavy meal""]"
349,615796608.0,Male,25-34,Medium,"[""I live alone""]",2.0,"[""Stay hydrated""]","[""To make the most out of/enjoy life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",Once a week,"[""Cycling""]","[""Have herbal tea""]","[""No, none of these""]"
350,3447481622.0,Female,45+,Medium,"[""I live alone""]",1,"[""Stay hydrated"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Stress control methods"", ""Exercise regularly""]","[""To make the most out of/enjoy life"", ""I feel pressured because everyone else is doing it"", ""Have more energy""]","[""Vegan: eat no meat, fish, or dairy""]","[""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase""]",Once a week,"[""Cycling""]","[""Take sleeping tablets""]","[""Browsing on my cell phone / tablet""]"
353,1460183645.0,Male,45+,High,"[""Other family members""]",5+,"[""Drink lots of water / fluids"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Exercise regularly""]","[""To make the most out of/enjoy life"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""Low sugar"", ""Dairy free"", ""Low salt"", ""Halal""]","[""Intermittent fasting"", ""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions"", ""Snacking less often"", ""Eating dessert less often""]",3+ times a week,"[""Walking""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
356,375319980.0,Female,45+,Low,"[""Partner / spouse"", ""Children over 18 years old"", ""Other family members""]",,"[""Meditation / positive mindset methods"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Taking time to relax""]","[""To manage a health / medical condition"", ""Feeling good about myself"", ""To lose / manage my weight""]","[""Low salt"", ""Low sugar"", ""Low / zero carb"", ""High protein""]","[""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase"", ""Eating dessert less often"", ""Snacking less often"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Walking"", ""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""No, none of these""]"
357,6209864035.0,Male,18-24,Medium,"[""Parents""]",4.0,"[""Taking time to relax"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Meditation / positive mindset methods"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Cooking more meals at home""]",3+ times a week,"[""Running"", ""Swimming"", ""Cycling""]","[""Have a bath"", ""Have warm milk"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Alcohol"", ""Browsing on my cell phone / tablet"", ""Watching TV"", ""Caffeine""]"
359,4824157250.0,Female,25-34,Low,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Make sure I get enough sleep"", ""Take vitamin / other supplements"", ""Exercise regularly"", ""Stay hydrated"", ""Eat healthily""]","[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To lose / manage my weight""]","[""Halal""]","[""Eating out / ordering takeout less frequently"", ""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions""]",Few times a month,"[""Cycling"", ""Other""]","[""No, none of these""]","[""Heavy meal"", ""Browsing on my cell phone / tablet""]"
365,561921312.0,Male,35-44,Medium,"[""Friends / Flatmates""]",2.0,"[""Eat healthily""]","[""Have more energy"", ""To live longer""]","[""Low calorie""]","[""Snacking less often""]",3+ times a week,"[""Other""]","[""No, none of these""]","[""No, none of these""]"
367,2959679448.0,Female,18-24,Low,"[""Partner / spouse""]",2.0,"[""Drink lots of water / fluids"", ""Stay hydrated"", ""Eat healthily""]","[""To set a good example for my family"", ""To make the most out of/enjoy life"", ""To lose / manage my weight""]","[""Low / zero carb""]","[""Making an effort to find healthy recipes""]",Once a week,"[""Spinning""]","[""No, none of these""]","[""No, none of these""]"
368,1197675864.0,Female,46-55,High ,"[""Partner / spouse"", ""Children over 18 years old""]",,"[""Drink lots of water/fluids"", ""Exercise regularly"", ""Taking time to relax"", ""Eat healthily"", ""Take vitamin / other supplements"", ""Make sure I get enough sleep""]","[""To support my family"", ""To lose / manage my weight"", ""Have more energy""]","[""None of the above""]","[""Eating dessert less often"", ""Checking / reading the ingredients in food / drink products"", ""Cooking more meals at home"", ""Watching the size of my portions"", ""Making an effort to find healthy recipes"", ""Filling half my plate with vegetables""]",Less often,,"[""No, none of these""]","[""Caffeine""]"
369,5094551262.0,Female,25-34,High,"[""Partner / spouse""]",2.0,"[""Exercise regularly"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Drink lots of water / fluids""]","[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To improve brain function/ memory""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal"", ""Low calorie""]","[""Making an effort to find healthy recipes"", ""Intermittent fasting"", ""Checking nutritional value of the food / drink I purchase""]",Once a week,"[""Circuit training/ HIIT"", ""Other""]","[""No, none of these""]","[""Heavy meal""]"
370,2778456075.0,Female,45+,Medium,"[""Friends / Flatmates""]",2.0,"[""Make sure I get enough sleep"", ""Taking time to relax"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""To improve brain function/ memory"", ""To improve my sleep"", ""Have more energy""]","[""Low / zero carb"", ""Low cholesterol"", ""Low salt"", ""Low sugar""]","[""None of the above""]",3+ times a week,"[""Walking""]","[""No, none of these""]","[""No, none of these""]"
372,6138527813.0,Female,18-24,Medium,"[""Parents""]",3.0,"[""Stay hydrated"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Taking time to relax""]","[""To make the most of treats / indulgent moments"", ""To lose / manage my weight"", ""Feeling good about myself""]","[""None of the above""]","[""Watching the size of my portions"", ""Counting / tracking calories"", ""Trying to have a variety of colors on my plate"", ""Cooking more meals at home"", ""Eating out at places that have healthy options available"", ""Checking / reading the ingredients in food / drink products"", ""Doing a cleanse"", ""Making an effort to find healthy recipes"", ""Shopping at places that have a wide selection of healthy options""]",Once a week,"[""Aerobics"", ""Walking"", ""Hiking"", ""Yoga/Pilates""]","[""Have a bath""]","[""No, none of these""]"
373,1057899384.0,Female,45+,Medium,"[""Partner / spouse"", ""Children over 18 years old""]",5+,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Exercise regularly""]","[""To live longer"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""Low / zero carb"", ""Low sugar"", ""Pescatarian: eat no meat"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Vegetarian: eat no meat or fish""]","[""Snacking less often"", ""Intermittent fasting"", ""Checking nutritional value of the food / drink I purchase"", ""Eating dessert less often"", ""Checking / reading the ingredients in food / drink products"", ""Watching the size of my portions""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics"", ""Yoga/Pilates"", ""Aerobics""]","[""Remove screens from bedrooms e.g. TV, cell phone"", ""Other""]","[""Heavy meal"", ""Browsing on my mobile  phone / tablet"", ""Checking emails"", ""Caffeine""]"
375,6100648100.0,Female,18-24,Low,"[""Partner / spouse""]",3.0,"[""Taking time to relax"", ""Stay hydrated"", ""Meditation / positive mindset methods"", ""Take vitamin / other supplements"", ""Make sure I get enough sleep""]","[""To lose / manage my weight"", ""Feeling good about myself"", ""Have more energy""]","[""None of the above""]","[""Snacking less often"", ""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase""]",Never,,"[""No, none of these""]","[""Browsing on my cell phone / tablet"", ""Heavy meal""]"
377,5548561020.0,Male,18-24,Medium,"[""Parents""]",4.0,"[""Taking time to relax"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Make sure I get enough sleep""]","[""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""None of the above""]","[""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
378,6179686845.0,Female,18-24,High,"[""Other family members""]",5+,"[""Taking time to relax"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Stress control methods""]","[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To make the most out of/enjoy life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar"", ""Low / zero carb"", ""Paleo""]","[""Watching the size of my portions"", ""Snacking less often"", ""Eating dessert less often"", ""Shopping at places that have a wide selection of healthy options"", ""Trying to have a variety of colors on my plate"", ""Cooking more meals at home"", ""Filling half my plate with vegetables""]",Twice a week,"[""Cardio / Aerobics / Water aerobics"", ""Aerobics"", ""Walking""]","[""Have a bath""]","[""Caffeine"", ""Heavy meal"", ""Alcohol""]"
383,3074175780.0,Male,25-34,High,"[""Partner / spouse""]",1,"[""Make sure I get enough sleep"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Taking time to relax""]","[""To make the most out of/enjoy life"", ""To live longer"", ""Have more energy""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",Twice a week,"[""Running"", ""Other""]","[""No, none of these""]","[""Caffeine""]"
384,3175654468.0,Male,35-44,High,"[""Partner / spouse""]",3.0,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Stay hydrated""]","[""To lose / manage my weight"", ""Prevent health conditions in later life"", ""To live longer""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar"", ""Low salt""]","[""Cooking more meals at home"", ""Making an effort to find healthy recipes"", ""Checking nutritional value of the food / drink I purchase""]",Less often,,"[""Have herbal tea""]","[""Heavy meal"", ""Alcohol""]"
390,5197781694.0,Male,18-24,Low,"[""Parents"", ""Other family members""]",4.0,"[""Exercise regularly""]","[""Prevent health conditions in later life"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""Keto""]","[""Checking / reading the ingredients in food / drink products""]",3+ times a week,"[""Running""]","[""Have a bath""]","[""Alcohol""]"
391,2679153318.0,Female,25-34,Medium,"[""Parents""]",5+,"[""Drink lots of water / fluids""]","[""To set a good example for my family"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]","[""Vegetarian: eat no meat or fish""]","[""Making an effort to find healthy recipes""]",Less often,,"[""Other""]","[""Caffeine""]"
393,3142619040.0,Female,18-24,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Make sure I get enough sleep"", ""Taking time to relax""]","[""To set a good example for my family"", ""Prevent health conditions in later life"", ""Specific event (e.g. holiday, wedding)""]","[""None of the above""]","[""Cooking more meals at home"", ""Snacking less often""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
394,713118393.0,Female,45+,Low,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Drink lots of water / fluids"", ""Eat healthily"", ""Stay hydrated"", ""Stress control methods""]","[""To make the most out of/enjoy life"", ""Have more energy"", ""To set a good example for my family""]","[""None of the above""]","[""Cooking more meals at home"", ""Watching the size of my portions"", ""Snacking less often""]",Twice a week,"[""Weights"", ""Walking""]","[""No, none of these""]","[""No, none of these""]"
397,5237033200.0,Male,25-34,High,"[""Parents""]",5+,"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Eat healthily""]","[""To live longer"", ""Prevent health conditions in later life"", ""To support my family""]","[""Halal""]","[""Trying to have a variety of colors on my plate""]",3+ times a week,"[""Strength training"", ""Running"", ""Weights""]","[""Have a malted milk drink"", ""Have herbal tea""]","[""Caffeine""]"
398,4991753304.0,Male,18-24,Low,"[""Parents""]",2.0,"[""Exercise regularly"", ""Drink lots of water / fluids"", ""Stress control methods""]","[""Feeling good about myself"", ""Have more energy"", ""To make the most of treats / indulgent moments""]","[""None of the above""]","[""Snacking less often"", ""Cooking more meals at home""]",3+ times a week,"[""Strength training"", ""Cycling""]","[""No, none of these""]","[""Caffeine""]"
399,5637241157.0,Female,35-44,High,"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]",5+,"[""Drink lots of water / fluids""]","[""To manage a health / medical condition"", ""Feeling good about myself""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Checking / reading the ingredients in food / drink products""]",Less often,,"[""Take sleeping tablets""]","[""No, none of these""]"
400,3711748152.0,Female,45+,Medium,"[""Partner / spouse"", ""Children over 18 years old""]",3.0,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""Feeling good about myself"", ""Have more energy"", ""To make the most out of/enjoy life""]","[""Flexitarian: eat meat but control the amount eaten"", ""Low sugar"", ""Low salt""]","[""Watching the size of my portions"", ""Trying to have a variety of colors on my plate"", ""Shopping at places that have a wide selection of healthy options""]",Twice a week,"[""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""Watching TV""]"
401,1601878159.0,Male,18-24,High,"[""I live alone""]",1,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""To manage a health / medical condition"", ""To live longer"", ""Feeling good about myself""]","[""Halal""]","[""Eating out / ordering takeout less frequently""]",Never,,"[""Have a bath""]","[""Alcohol""]"
404,1396440480.0,Female,45+,High,"[""Parents""]",2.0,"[""Take vitamin / other supplements""]","[""Prevent health conditions in later life"", ""To live longer"", ""To make the most out of/enjoy life""]","[""Paleo""]","[""Snacking less often"", ""Eating dessert less often""]",Less often,,"[""No, none of these""]","[""Caffeine""]"
405,7582747648.0,Female,45+,High,"[""Other family members""]",4.0,"[""Eat healthily"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Exercise regularly""]","[""To support my family"", ""To manage a health / medical condition"", ""To live longer""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Snacking less often"", ""Cooking more meals at home"", ""Eating dessert less often""]",Twice a week,"[""Walking""]","[""Have a bath"", ""Have warm milk""]","[""Alcohol"", ""Heavy meal"", ""Browsing on my cell phone / tablet"", ""Watching TV"", ""Caffeine""]"
408,4085907336.0,Female,35-44,Medium,"[""Partner / spouse"", ""Children over 18 years old""]",3.0,"[""Drink lots of water / fluids""]","[""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Snacking less often""]",Twice a week,"[""Cycling""]","[""Have warm milk""]","[""Checking emails"", ""Caffeine""]"
409,722008368.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]",4.0,"[""Make sure I get enough sleep"", ""Stress control methods"", ""Taking time to relax"", ""Stay hydrated"", ""Drink lots of water / fluids""]","[""To live longer"", ""To improve brain function/ memory"", ""To set a good example for my family""]","[""Low sugar"", ""Low salt"", ""Dairy free""]","[""Eating dessert less often"", ""Watching the size of my portions"", ""Trying to have a variety of colors on my plate"", ""Snacking less often"", ""Checking / reading the ingredients in food / drink products""]",Few times a month,"[""Hiking"", ""Walking""]","[""No, none of these""]","[""Heavy meal""]"
411,5848700154.0,Female,25-34,Medium,"[""I live alone""]",1,"[""Stress control methods"", ""Drink lots of water / fluids"", ""Eat healthily""]","[""To lose / manage my weight"", ""To make the most out of/enjoy life"", ""To support my family""]","[""Keto""]","[""Filling half my plate with vegetables""]",Twice a week,"[""Other""]","[""Have a bath""]","[""Heavy meal"", ""Caffeine""]"
418,1104431296.0,Female,18-24,Medium,"[""Parents""]",5+,"[""Eat healthily"", ""Make sure I get enough sleep""]","[""Prevent health conditions in later life"", ""To make the most out of/enjoy life"", ""To improve my sleep""]","[""Vegetarian: eat no meat or fish""]","[""Eating dessert less often""]",Few times a month,"[""Running""]","[""No, none of these""]","[""Watching TV""]"
421,3263882499.0,Male,25-34,Medium,"[""Friends / Roommates"", ""Parents""]",4.0,"[""Drink lots of water / fluids"", ""Taking time to relax"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Make sure I get enough sleep""]","[""To make the most of treats / indulgent moments"", ""To improve brain function/ memory"", ""To improve my sleep""]","[""Kosher"", ""Low / zero carb""]","[""Eating out at places that have healthy options available"", ""Snacking less often"", ""Watching the size of my portions"", ""Counting / tracking calories""]",3+ times a week,"[""Walking"", ""Swimming"", ""Yoga/Pilates"", ""Strength training""]","[""No, none of these""]","[""Browsing on my cell phone / tablet"", ""Watching TV""]"
422,5183297325.0,Male,18-24,High,"[""Parents""]",5+,"[""Meditation / positive mindset methods"", ""Take vitamin / other supplements"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""To set a good example for my family"", ""Have more energy"", ""To lose / manage my weight""]","[""Flexitarian: eat meat but control the amount eaten"", ""Halal"", ""High protein""]","[""Eating out at places that have healthy options available"", ""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase"", ""Cooking more meals at home""]",Few times a month,"[""Running"", ""Cycling"", ""Walking""]","[""No, none of these""]","[""Alcohol""]"
423,5763560385.0,Female,18-24,Medium,"[""I live alone""]",1,"[""Eat healthily""]","[""Prevent health conditions in later life"", ""Feeling good about myself""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt""]","[""Cooking more meals at home"", ""Snacking less often""]",Once a week,"[""Walking"", ""Hiking""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet"", ""Alcohol"", ""Checking emails"", ""Caffeine"", ""Watching TV"", ""Heavy meal""]"
424,1957570233.0,Male,18-24,Low,"[""Children under 18 years old""]",5+,"[""Drink lots of water / fluids""]","[""To improve brain function/ memory"", ""Have more energy"", ""To make the most out of/enjoy life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Gluten / wheat free""]","[""Cooking more meals at home"", ""Shopping at places that have a wide selection of healthy options"", ""Checking nutritional value of the food / drink I purchase""]",Once a week,"[""Swimming""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet""]"
